YEAR,REGION,AGE_GROUP,GENDER,GENDER_LABEL,POPULATION_INSEE,NB_DEPARTMENTS
2023,DROM,60-74 ans,F,F,513375,5
2023,DROM,60-74 ans,M,M,459138,5
2023,DROM,75+ ans,ALL,Ensemble,408696,5
2023,DROM,75+ ans,F,F,240333,5
2023,DROM,75+ ans,M,M,168363,5
2023,Grand Est,0-19 ans,ALL,Ensemble,2489138,1
2023,Grand Est,0-19 ans,F,F,1209714,1
2023,Grand Est,0-19 ans,M,M,1279424,1
2023,Grand Est,20-39 ans,ALL,Ensemble,2605208,1
2023,Grand Est,20-39 ans,F,F,1290428,1
2023,Grand Est,20-39 ans,M,M,1314780,1
2023,Grand Est,40-59 ans,ALL,Ensemble,2885324,1
2023,Grand Est,40-59 ans,F,F,1455950,1
